City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Jackson, Mississippi","1,523","169,148",111,
"Jackson, Tennessee","1,247","67,005",54,
"Jacksonville, Florida","1,179","880,619",747,
"Jacksonville, North Carolina","1,457","67,784",47,
"Janesville, Wisconsin","1,895","64,159",34,
"Jersey City, New Jersey","17,860","264,152",15,
"Johns Creek, Georgia","2,729","83,873",31,
"Johnson City, Tennessee","1,553","66,677",43,
"Joliet, Illinois","2,387","148,262",62,
"Jonesboro, Arkansas",938,"74,889",80,
"Joplin, Missouri","1,468","52,195",36,
"Jupiter, Florida","2,972","63,813",21,
"Kalamazoo, Michigan","3,079","75,984",25,
"Kansas City, Kansas","1,216","151,709",125,
"Kansas City, Missouri","1,529","481,420",315,
"Kenner, Louisiana","4,512","67,089",15,
"Kennewick, Washington","2,988","80,454",27,
"Kenosha, Wisconsin","3,700","99,631",27,
"Kent, Washington","4,454","127,514",29,
"Kentwood, Michigan","2,473","51,689",21,
"Kettering, Ohio","2,961","55,306",19,
"Killeen, Texas","2,676","143,400",54,
"Kingsport, Tennessee","1,060","52,806",50,
"Kirkland, Washington","8,128","87,701",11,
"Kissimmee, Florida","3,274","69,369",21,
"Knoxville, Tennessee","1,890","186,239",99,
"Kokomo, Indiana","3,124","57,799",19,
"La Crosse, Wisconsin","2,539","52,109",21,
"La Habra, California","8,367","61,664",7,
"La Mesa, California","6,602","59,948",9,
"Lafayette, Indiana","2,588","71,782",28,
"Lafayette, Louisiana","2,592","127,626",49,
"Laguna Niguel, California","4,405","65,328",15,
"Lake Charles, Louisiana","1,827","76,848",42,
"Lake Elsinore, California","1,773","64,205",36,
"Lake Forest, California","4,671","83,240",18,
"Lake Havasu City, Arizona","1,210","53,743",44,
"Lakeland, Florida","1,630","106,420",65,
"Lakeville, Minnesota","1,718","61,938",36,
"Lakewood, California","8,623","81,138",9,
"Lakewood, Colorado","3,601","154,393",43,
"Lakewood, Ohio","9,092","50,279",6,
"Lakewood, Washington","3,533","60,665",17,
"Lancaster, California","1,698","160,106",94,
"Lancaster, Pennsylvania","8,191","59,218",7,
"Lansing, Michigan","3,218","116,020",36,
"Laredo, Texas","2,892","257,156",89,
"Largo, Florida","4,714","83,065",18,
"Las Cruces, New Mexico","1,330","101,759",76,
"Las Vegas, Nevada","4,660","632,912",136,
"Lauderhill, Florida","8,397","71,626",9,
"Lawrence, Kansas","2,841","95,358",34,
"Lawrence, Massachusetts","11,574","80,209",7,
"Lawton, Oklahoma","1,168","94,653",81,
"Layton, Utah","3,439","75,655",22,
"League City, Texas","1,989","102,010",51,
"Lee's Summit, Missouri","1,517","96,076",63,
"Leesburg, Virginia","4,246","52,607",12,
"Lehi, Utah","2,321","61,130",26,
"Lenexa, Kansas","1,551","52,903",34,
"Lewisville, Texas","2,875","104,659",36,
"Lexington, Kentucky","1,123","318,449",284,
"Lincoln, Nebraska","3,146","280,364",89,
"Little Rock, Arkansas","1,666","198,541",119,
"Livermore, California","3,541","89,115",25,
"Livonia, Michigan","2,634","94,041",36,
"Lodi, California","4,750","64,641",14,
"Logan, Utah","2,825","50,676",18,
"Long Beach, California","9,348","470,130",50,
"Longmont, Colorado","3,546","92,858",26,
"Longview, Texas","1,473","82,055",56,
"Lorain, Ohio","2,692","63,730",24,
"Los Angeles, California","8,484","3,976,322",469,
"Louisville, Kentucky","1,895","616,261",325,
"Loveland, Colorado","2,289","76,897",34,
"Lowell, Massachusetts","8,141","110,558",14,
"Lubbock, Texas","2,063","252,506",122,
"Lynchburg, Virginia","1,633","80,212",49,
"Lynn, Massachusetts","8,631","92,697",11,
"Lynwood, California","14,708","71,187",5,
"Madera, California","4,081","64,444",16,
"Madison, Wisconsin","3,289","252,551",77,
"Malden, Massachusetts","12,071","60,840",5,
"Manchester, New Hampshire","3,339","110,506",33,
"Manhattan, Kansas","2,931","54,983",19,
"Mansfield, Texas","1,804","65,631",36,
"Manteca, California","4,338","76,908",18,
"Maple Grove, Minnesota","2,132","69,576",33,
"Margate, Florida","6,539","57,870",9,
"Marietta, Georgia","2,640","60,941",23,
"Marysville, Washington","3,270","67,626",21,
"McAllen, Texas","2,942","142,212",48,
"McKinney, Texas","2,770","172,298",62,
"Medford, Massachusetts","7,063","57,213",8,
"Medford, Oregon","3,173","81,636",26,
"Melbourne, Florida","2,398","81,185",34,
"Memphis, Tennessee","2,072","652,717",315,
"Menifee, California","1,905","88,531",46,
"Merced, California","3,542","82,594",23,
"Meriden, Connecticut","2,506","59,622",24,
"Meridian, Idaho","3,569","95,623",27,
"Mesa, Arizona","3,551","484,587",136,
"Mesquite, Texas","3,123","143,736",46,
"Miami Beach, Florida","12,047","91,917",8,
"Miami Gardens, Florida","6,202","113,058",18,
"Miami, Florida","12,645","453,579",36,
"Midland, Texas","1,868","134,610",72,
"Midwest City, Oklahoma","2,349","57,305",24,
"Milford, Connecticut","2,399","52,536",22,
"Milpitas, California","5,705","77,528",14,
"Milwaukee, Wisconsin","6,191","595,047",96,
"Minneapolis, Minnesota","7,664","413,651",54,
"Minnetonka, Minnesota","1,945","52,369",27,
"Miramar, Florida","4,690","138,449",30,
"Mission Viejo, California","5,434","96,396",18,
"Mission, Texas","2,458","83,563",34,
"Missoula, Montana","2,630","72,364",28,
"Missouri City, Texas","2,624","74,561",28,
"Mobile, Alabama","1,387","192,904",139,
"Modesto, California","5,755","212,175",37,
"Montebello, California","7,603","63,335",8,
"Monterey Park, California","7,963","61,075",8,
"Montgomery, Alabama","1,254","200,022",160,
"Moore, Oklahoma","2,815","61,415",22,
"Moreno Valley, California","4,008","205,499",51,
"Mount Pleasant, South Carolina","1,867","84,170",45,
"Mount Prospect, Illinois","5,239","54,171",10,
"Mount Vernon, New York","15,568","68,344",4,
"Mountain View, California","6,704","80,447",12,
"Muncie, Indiana","2,537","69,010",27,
"Murfreesboro, Tennessee","2,384","131,947",55,
"Murrieta, California","3,326","111,674",34,
"Nampa, Idaho","2,930","91,382",31,
"Napa, California","4,508","80,416",18,
"Naperville, Illinois","3,795","147,122",39,
"Nashua, New Hampshire","2,849","87,882",31,
"Nashville, Tennessee","1,390","660,388",475,
"National City, California","8,399","61,147",7,
"New Bedford, Massachusetts","4,752","95,032",20,
"New Braunfels, Texas","1,686","73,959",44,
"New Britain, Connecticut","5,419","72,558",13,
"New Brunswick, New Jersey","10,881","56,910",5,
"New Haven, Connecticut","6,956","129,934",19,
"New Orleans, Louisiana","2,311","391,495",169,
"New Rochelle, New York","7,687","79,557",10,
"New York, New York","28,211","8,537,673",303,
"Newark, New Jersey","11,648","281,764",24,
"Newport Beach, California","3,642","86,688",24,
"Newport News, Virginia","2,646","181,825",69,
"Newton, Massachusetts","4,991","89,045",18,
"Noblesville, Indiana","1,918","60,183",31,
"Norfolk, Virginia","4,529","245,115",54,
"Normal, Illinois","2,957","54,264",18,
"Norman, Oklahoma",683,"122,180",179,
"North Charleston, South Carolina","1,493","109,298",73,
"North Las Vegas, Nevada","2,355","238,702",101,
"North Little Rock, Arkansas","1,287","66,278",52,
"North Miami, Florida","7,389","62,139",8,
"North Port, Florida",645,"64,274",100,
"North Richland Hills, Texas","3,841","69,798",18,
"Norwalk, California","10,935","106,178",10,
"Norwalk, Connecticut","3,869","88,438",23,
"Novato, California","2,041","56,004",27,
"Novi, Michigan","1,957","59,211",30,
"O'Fallon, Missouri","2,956","86,274",29,
"Oak Lawn, Illinois","6,549","56,257",9,
"Oak Park, Illinois","11,016","51,774",5,
"Oakland, California","7,528","420,005",56,
"Ocala, Florida","1,322","59,253",45,
"Oceanside, California","4,256","175,464",41,
"Odessa, Texas","2,810","117,871",42,
"Ogden, Utah","3,200","86,701",27,
"Oklahoma City, Oklahoma","1,053","638,367",606,
"Olathe, Kansas","2,271","135,473",60,
"Olympia, Washington","2,873","51,202",18,
"Omaha, Nebraska","3,517","446,970",127,
"Ontario, California","3,468","173,212",50,
"Orange, California","5,665","140,504",25,
"Orem, Utah","5,331","97,499",18,
"Orland Park, Illinois","2,690","58,862",22,
"Orlando, Florida","2,707","277,173",102,
"Oshkosh, Wisconsin","2,602","66,579",26,
"Overland Park, Kansas","2,525","188,966",75,
"Owensboro, Kentucky","3,105","59,273",19,
"Oxnard, California","7,732","207,906",27,
"Palatine, Illinois","5,049","68,766",14,
"Palm Bay, Florida","1,676","110,104",66,
"Palm Beach Gardens, Florida",976,"53,778",55,
"Palm Coast, Florida",947,"85,109",90,
"Palm Desert, California","1,948","52,231",27,
"Palmdale, California","1,485","157,356",106,
"Palo Alto, California","2,807","67,024",24,
"Paramount, California","11,609","54,909",5,
"Parker, Colorado","2,498","51,163",20,
"Parma, Ohio","3,967","79,425",20,
"Pasadena, California","6,185","142,059",23,
"Pasadena, Texas","3,586","153,351",43,
"Pasco, Washington","2,314","70,579",31,
"Passaic, New Jersey","22,424","70,635",3,
"Paterson, New Jersey","17,438","147,000",8,
"Pawtucket, Rhode Island","8,229","71,427",9,
"Peabody, Massachusetts","3,238","52,491",16,
"Pearland, Texas","2,415","113,570",47,
"Pembroke Pines, Florida","5,090","168,587",33,
"Pensacola, Florida","2,386","53,779",23,
"Peoria, Arizona",941,"164,173",174,
"Peoria, Illinois","2,380","114,265",48,
"Perris, California","2,432","76,331",31,
"Perth Amboy, New Jersey","11,170","52,499",5,
"Petaluma, California","4,209","60,530",14,
"Pflugerville, Texas","2,654","59,245",22,
"Pharr, Texas","3,301","77,320",23,
"Philadelphia, Pennsylvania","11,692","1,567,872",134,
"Phoenix, Arizona","3,126","1,615,017",517,
"Pico Rivera, California","7,667","63,635",8,
"Pinellas Park, Florida","3,362","52,137",16,
"Pittsburg, California","4,104","70,679",17,
"Pittsburgh, Pennsylvania","5,484","303,625",55,
"Placentia, California","7,949","52,228",7,
"Plainfield, New Jersey","8,411","50,636",6,
"Plano, Texas","3,996","286,057",72,
"Plantation, Florida","4,264","92,706",22,
"Pleasanton, California","3,412","82,270",24,
"Plymouth, Minnesota","2,363","77,216",33,
"Pocatello, Idaho","1,699","54,746",32,
"Pomona, California","6,645","152,494",23,
"Pompano Beach, Florida","4,558","109,393",24,
"Pontiac, Michigan","2,989","59,698",20,
"Port Arthur, Texas",721,"55,427",77,
"Port Orange, Florida","2,292","61,105",27,
"Port St. Lucie, Florida","1,625","185,132",114,
"Porterville, California","3,349","58,978",18,
"Portland, Maine","3,141","66,937",21,
"Portland, Oregon","4,795","639,863",133,
"Portsmouth, Virginia","2,831","95,252",34,
"Poway, California","1,281","50,077",39,
"Providence, Rhode Island","9,740","179,219",18,
"Provo, Utah","2,805","116,868",42,
"Pueblo, Colorado","2,056","110,291",54,
"Quincy, Massachusetts","5,654","93,688",17,
"Racine, Wisconsin","5,011","77,571",15,
"Raleigh, North Carolina","3,211","458,880",143,
"Rancho Cordova, California","2,158","72,326",34,
"Rancho Cucamonga, California","4,430","176,534",40,
"Rapid City, South Dakota","1,336","74,048",55,
"Reading, Pennsylvania","8,864","87,575",10,
"Redding, California","1,539","91,808",60,
"Redlands, California","1,973","71,288",36,
"Redmond, Washington","3,836","62,458",16,
"Redondo Beach, California","10,946","67,867",6,
"Redwood City, California","4,374","84,950",19,
"Reno, Nevada","2,381","245,255",103,
"Renton, Washington","4,366","100,953",23,
"Revere, Massachusetts","9,342","53,157",6,
"Rialto, California","4,623","103,314",22,
"Richardson, Texas","3,969","113,347",29,
"Richland, Washington","1,539","54,989",36,
"Richmond, California","3,652","109,813",30,
"Richmond, Virginia","3,731","223,170",60,
"Rio Rancho, New Mexico",929,"96,028",103,
"Riverside, California","4,002","324,722",81,
"Roanoke, Virginia","2,342","99,660",43,
